Ride_Date,Customer_ID,Driver_ID,Ride_Distance_km,Ride_Duration_min,Surge_Multiplier,Base_Fare_USD,Total_Fare_USD,Customer_Rating,Ride_Status
2024-09-09 16:51:04.047409,CUST3796,DRIV678,11.86,18.75,1.0,7.36,7.36,5,Completed
2023-12-14 16:51:04.047409,CUST7525,DRIV374,28.57,43.63,1.0,6.43,6.43,4,Completed
2023-10-30 16:51:04.047409,CUST9196,DRIV111,22.23,30.03,1.0,7.07,7.07,2,Completed
2024-03-06 16:51:04.047409,CUST6844,DRIV904,18.36,27.42,1.0,12.1,12.1,5,No-show
2024-02-20 16:51:04.047409,CUST6177,DRIV113,5.52,7.54,1.0,18.27,18.27,4,Completed
2024-02-09 16:51:04.047409,CUST2804,DRIV324,5.52,9.15,1.0,9.64,9.64,2,Completed
2023-12-28 16:51:04.047409,CUST3415,DRIV986,2.68,4.92,1.0,11.63,11.63,4,Completed
2023-12-09 16:51:04.047409,CUST8868,DRIV284,26.12,46.67,2.0,5.5,11.0,5,Completed
2024-09-28 16:51:04.047409,CUST1864,DRIV410,18.43,24.71,1.25,14.0,17.5,4,Completed
2024-07-23 16:51:04.047409,CUST2561,DRIV347,21.53,32.5,1.0,10.09,10.09,5,Completed
2023-12-01 16:51:04.047409,CUST2690,DRIV120,1.6,1.62,1.0,15.03,15.03,5,Completed
2024-08-15 16:51:04.047409,CUST9641,DRIV678,29.13,54.48,1.0,13.57,13.57,4,Canceled
2024-05-21 16:51:04.047409,CUST4338,DRIV808,25.14,31.31,1.0,15.88,15.88,5,Completed
2023-11-03 16:51:04.047409,CUST7898,DRIV404,7.16,10.32,1.0,16.62,16.62,5,Completed
2023-11-02 16:51:04.047409,CUST1917,DRIV233,6.27,7.23,1.0,8.6,8.6,3,Completed
2023-12-04 16:51:04.047409,CUST7478,DRIV373,6.32,10.61,1.0,12.61,12.61,5,Completed
2024-02-06 16:51:04.047409,CUST4708,DRIV144,9.82,15.17,1.5,13.37,20.06,3,Completed
2024-02-14 16:51:04.047409,CUST9139,DRIV814,16.22,22.14,1.5,11.55,17.33,4,Completed
2024-07-02 16:51:04.047409,CUST1196,DRIV746,13.53,20.77,1.0,10.78,10.78,5,Completed
2024-08-21 16:51:04.047409,CUST6250,DRIV831,9.45,11.04,1.0,19.2,19.2,4,Completed
2023-10-31 16:51:04.047409,CUST6518,DRIV466,18.74,33.28,1.5,6.66,9.99,3,Canceled
2024-07-31 16:51:04.047409,CUST6043,DRIV733,5.05,6.39,1.0,6.86,6.86,4,Completed
